circulatingSupply,marketCap,maxSupply,name,price,ticker,website
"
104,708,437,065
","44,551,136","
180,000,000,000
",Nexty,0.000425,(NTY),https://nexty.io/
"
296,392,000
","23,473,743","
1,000,000,000
",Internet Node Token,0.079198,(INT),https://intchain.io/
"
629,990,099
","44,079,777","
1,000,000,000
",BnkToTheFuture,0.069969,(BFT),https://bf-token.bnktothefuture.com/#!/
"
98,028,877
","23,274,604","
100,000,000
",MobileGo,0.237426,(MGO),https://mobilego.io/
"
677,154,514
","43,544,624","
987,154,514
",Streamr DATAcoin,0.064305,(DATA),https://www.streamr.com/
"
57,672,338
","23,066,859","
77,910,266
",NAGA,0.399964,(NGC),https://www.thenagacoin.com/
"
1,445,976,590
","43,668,348","
2,000,000,005
",Cindicator,0.030200,(CND),https://cindicator.com/
"
183,000,000
","22,922,946","
198,360,471
",Wagerr,0.125262,(WGR),https://www.wagerr.com/
"
560,000,010
","43,266,273","
1,000,000,000
",Nexo,0.077261,(NEXO),http://nexo.io
"
973,098,288
","22,665,211","
3,385,008,508
",Distributed Credit Chain,0.023292,(DCC),http://dcc.finance/
"
186,450,000
","42,788,970","
484,450,000
",Revain,0.229493,(R),https://revain.org/
"
42,622,724
","22,416,356","
100,000,000
",Delphy,0.525925,(DPY),https://delphy.org/
"
359,600,000
","42,685,599","
444,000,000
",SONM,0.118703,(SNM),https://sonm.io/
"
553,504,084
","42,486,697","
1,000,000,000
",Achain,0.076759,(ACT),https://www.achain.com/
"
26,591,778,249
","22,263,062","
27,458,934,802
",Electra,0.000837,(ECA),https://electraproject.org/
"
84,302,524
","22,381,477","
210,000,000
",ATN,0.265490,(ATN),https://atn.io/
"
5,060,038,287
","42,607,445","
9,795,844,687
",THEKEY,0.008420,(TKY),https://www.thekey.vip
"
70,623,456
","22,466,522","
80,315,688
",Stakenet,0.318117,(XSN),https://stakenet.io/
"
600,000,000
","22,296,840","
1,000,000,000
",district0x,0.037161,(DNT),https://district0x.io/
"
1,218,054,044
","42,226,036","
3,750,000,000
",Dynamic Trading Rights,0.034667,(DTR),http://www.tokens.net/
"
4,487,863
","42,130,617","
21,000,000
",ZClassic,9.39,(ZCL),http://zclassic.org/
"
568,856,499
","22,222,493","
1,000,000,000
",Republic Protocol,0.039065,(REN),https://republicprotocol.com/
"
50,168,936
","41,830,457","
100,000,000
",Raiden Network Token,0.833792,(RDN),https://raiden.network/
"
437,677,583
","22,190,516","
2,100,000,000
",PCHAIN,0.050701,(PAI),https://pchain.org/
"
2,317,238,741
","41,557,360","
3,141,592,653
",Po.et,0.017934,(POE),https://po.et/
"
491,580,791
","22,165,378","
999,942,647
",Ripio Credit Network,0.045090,(RCN),https://ripiocredit.network/
"
617,314,171
","41,527,712","
976,442,388
",Quantstamp,0.067272,(QSP),https://quantstamp.com/
"
101,743,211
","22,020,181","
110,100,629
",LEOcoin,0.216429,(LEO),http://www.leocoin.org/
"
40,376,260
","41,360,633","
40,656,082
",CRYPTO20,1.02,(C20),https://crypto20.com/
"
133,521,643
","21,802,081","
1,000,000,000
",Aurora DAO,0.163285,(AURA),https://auroradao.com
"
1,012,146,906
","41,285,371",,BitBay,0.040790,(BAY),http://bitbay.market/
"
150,000,000
","21,775,200","
500,000,000
",AirSwap,0.145168,(AST),https://www.airswap.io/
"
144,590,975
","40,507,740","
361,477,438
",Ambrosus,0.280154,(AMB),http://ambrosus.com/
"
579,723,957
","21,717,097","
840,000,000
",Litecoin Cash,0.037461,(LCC),https://litecoinca.sh/
"
93,377,799
","39,807,142","
186,000,000
",Arcblock,0.426302,(ABT),https://www.arcblock.io/
"
1,230,970,206
","21,717,884","
21,000,000,000
",Ravencoin,0.017643,(RVN),https://ravencoin.org/
"
3,998,289
","39,547,472","
5,936,663
",MinexCoin,9.89,(MNX),https://minexcoin.com/
"
355,695,066
","21,478,931","
800,000,000
",OST,0.060386,(OST),https://ost.com
"
46,448,735
","38,558,024","
100,000,000
",True Chain,0.830120,(TRUE),http://www.truechain.pro
"
55,000,000
","20,965,835","
100,000,000
 ",TomoChain,0.381197,(TOMO),https://tomochain.com/
"
1,968,986,470
","38,689,797","
3,646,271,241
",BLOCKv,0.019650,(VEE),https://blockv.io/
"
28,731,068
","20,867,633","
53,005,272
",Neumark,0.726309,(NEU),http://neufund.org/
"
314,185,591
","37,945,765","
675,000,000
",Genaro Network,0.120775,(GNX),https://genaro.network/en
"
600,000,000
","20,737,440","
1,000,000,000
",SingularDTV,0.034562,(SNGLS),https://singulardtv.com/
"
6,774,940,000
","38,147,722","
7,200,000,000
",Cube,0.005631,(AUTO),https://cubeint.io/
"
1,844,998,458
","20,667,488","
4,997,891,952
",Universa,0.011202,(UTNP),https://www.universa.io/
"
103,244,553
","37,803,509","
200,000,000
",DEW,0.366155,(DEW),https://www.dew.one/
"
4,934,048,956
","20,571,136","
9,000,000,000
",LoyalCoin,0.004169,(LYL),https://loyalcoin.io
"
18,326,892
","37,288,627","
22,300,000
",Bitcoin Interest,2.03,(BCI),http://bitcoininterest.io/
"
82,500,000
","20,415,533","
165,000,000
",PayPie,0.247461,(PPP),https://www.paypie.com/
"
93,355,331
","36,446,388","
114,855,331
",Asch,0.390405,(XAS),https://www.asch.io/
"
702,000,000
","20,353,226","
1,560,000,000
",Hydro Protocol,0.028993,(HOT),https://thehydrofoundation.com/
"
730,346,443
","36,399,663","
1,087,156,610
",FuzeX,0.049839,(FXT),https://fuzex.co/
"
89,708,333
","20,293,281","
100,000,000
",Wings,0.226214,(WINGS),https://wings.ai/
"
229,258,029
","35,857,561","
573,145,073
",SIRIN LABS Token,0.156407,(SRN),http://www.sirinlabs.com/
"
4,224,746,886
","20,561,843","
4,725,728,960
",PACcoin,0.004867,($PAC),http://paccoin.net/
"
239,962,000
","35,852,482",,bitCNY,0.149409,(BITCNY),http://cryptofresh.com/a/CNY
"
3,094,350,139
","19,954,907","
11,111,111,111
",Hydro,0.006449,(HYDRO),https://www.hydrogenplatform.com/hydro
"
88,733,978
","35,295,714","
88,862,718
",Bread,0.397770,(BRD),https://BRD.com 
"
140,000,000
","20,032,880","
200,000,000
",Mothership,0.143092,(MSP),https://mothership.cx/
"
4,750,000,000
","35,399,375","
10,000,000,000
",Odyssey,0.007452,(OCN),http://www.ocoins.cc/
"
3,639,990,384
","19,949,149","
10,000,000,000
 ",SwftCoin,0.005481,(SWFTC),http://www.swftcoin.com/
"
218,451,729
","34,266,557","
256,320,849
",POA Network,0.156861,(POA),https://poa.network/
"
21,758,988
","19,934,780","
27,658,988
",ION,0.916163,(ION),https://ionomy.com/
"
445,978,756
","34,114,253","
500,000,000
",BOScoin,0.076493,(BOS),https://boscoin.io/
"
311,384,365
","19,707,299","
500,000,000
",UTRUST,0.063289,(UTK),https://utrust.com/
"
259,348,201
","33,996,918","
800,000,000
",Pillar,0.131086,(PLR),https://pillarproject.io/
"
17,500,000
","19,822,075","
20,000,000
",Covesting,1.13,(COV),https://covesting.io/
"
95,639,612
","33,748,446","
132,046,997
",Edgeless,0.352871,(EDG),https://edgeless.io/
"
24,393,986
","31,904,162",,Primecoin,1.31,(XPM),http://primecoin.io/
